Episode,Average Reward,Average Score
17200,45.08499999999981,7.88
17300,35.29899999999991,5.81
17400,41.824999999999825,7.15
17500,37.227999999999895,6.17
17600,43.59399999999974,7.53
17700,41.79199999999989,7.18
17800,38.54299999999989,6.46
17900,37.71099999999992,6.38
18000,50.441999999999915,9.07
18100,37.90199999999994,6.32
18200,38.93299999999998,6.58
18300,48.50399999999975,8.62
18400,46.05699999999981,8.05
18500,44.94799999999984,7.89
18600,42.81099999999993,7.44
18700,21.513999999999914,3.49
18800,26.866000000000007,4.42
18900,38.110999999999905,6.41
19000,39.44999999999986,6.7
19100,47.60999999999971,8.42
19200,40.49799999999992,6.88
19300,37.46399999999989,6.21
19400,33.018999999999984,5.25
19500,37.28299999999993,6.22
19600,37.320999999999934,6.19
19700,39.35599999999989,6.65
19800,45.074999999999854,7.84
19900,45.39299999999971,7.96
20000,44.949999999999775,7.87
20100,35.554000000000016,5.92
20200,41.91999999999985,7.15
20300,44.65199999999976,7.83
20400,39.306999999999974,6.65
20500,35.685,5.96
20600,29.37699999999998,4.59
20700,36.132999999999946,6.0
20800,41.77799999999988,7.14
20900,34.132999999999996,5.51
21000,46.700999999999674,8.16
21100,38.719999999999864,6.52
21200,30.340000000000053,4.69
21300,23.648999999999987,3.7
21400,38.02599999999986,6.32
21500,38.71499999999995,6.51
21600,40.71299999999999,6.95
21700,39.77699999999992,6.68
21800,42.23499999999984,7.26
21900,42.78099999999974,7.38
22000,38.942,6.57
22100,34.81400000000001,5.66
22200,30.659000000000027,4.74
22300,36.95599999999987,6.16
22400,39.37499999999993,6.69
22500,48.838999999999686,8.66
22600,37.765999999999806,6.44
22700,46.21299999999972,8.17
22800,38.25299999999977,6.51
22900,45.478999999999786,7.95
23000,41.033999999999935,6.95
23100,38.73099999999997,6.54
23200,40.63599999999986,6.9
23300,32.87799999999992,5.5
23400,36.04100000000001,5.92
23500,36.219999999999885,5.99
23600,52.8159999999997,9.5
23700,42.58699999999988,7.32
23800,45.9889999999998,8.14
23900,43.69199999999972,7.6
24000,53.000999999999586,9.6
24100,39.83799999999983,6.78
24200,36.085999999999885,6.03
24300,33.7709999999999,5.47
24400,46.04299999999983,8.12
24500,39.86299999999986,6.74
24600,39.052000000000014,6.55
24700,42.76699999999987,7.38
24800,34.603999999999935,5.65
24900,45.87999999999984,8.09
25000,35.63499999999993,5.84
